"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Baird S.; Friedman J.; Schady N.","Baird, Sarah (37025407300); Friedman, Jed (7401866352); Schady, Norbert (6602432760)","37025407300; 7401866352; 6602432760","Aggregate income shocks and infant mortality in the developing world","2011","Review of Economics and Statistics","93","3","","847","856","9","164","10.1162/REST_a_00084","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053940510&doi=10.1162%2fREST_a_00084&partnerID=40&md5=a8f2c7e89d7dc76d9ef1c6e4e2b74df0","Health and income are strongly correlated both within and across countries, yet the extent to which improvements in income have a causal effect on health status remains controversial. We investigate whether short-term fluctuations in aggregate income affect infant mortality using an unusually large data set of 1.7 million births in 59 developing countries. We show a large, negative association between per capita GDP and infant mortality. Female infant mortality is more sensitive than male infant mortality to negative economic shocks, suggesting that policies that protect the health status of female infants may be especially important during economic downturns. © 2011 by the President and Fellows of Harvard College and the Massachusetts Institute of Technology.","","","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-80053940510"
"Acemoglu D.; Ozdaglar A.; Tahbaz-Salehi A.","Acemoglu, Daron (7003483273); Ozdaglar, Asuman (6506566744); Tahbaz-Salehi, Alireza (23570166400)","7003483273; 6506566744; 23570166400","Microeconomic origins of macroeconomic tail risks","2017","American Economic Review","107","1","","54","108","54","147","10.1257/aer.20151086","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009168128&doi=10.1257%2faer.20151086&partnerID=40&md5=2399d643b384dab7c53a46d2f7d440ad","Using a multisector general equilibrium model, we show that the interplay of idiosyncratic microeconomic shocks and sectoral heterogeneity results in systematic departures in the likelihood of large economic downturns relative to what is implied by the normal distribution. Such departures can emerge even though GDP fluctuations are approximately normally distributed away from the tails, highlighting the different nature of large economic downturns from regular business-cycle fluctuations. We further demonstrate the special role of input-output linkages in generating tail comovements, whereby large recessions involve not only significant GDP contractions, but also large simultaneous declines across a wide range of industries.","","","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85009168128"
"Lockie S.; Franettovich M.; Petkova-Timmer V.; Rolfe J.; Ivanova G.","Lockie, Stewart (55932657500); Franettovich, Maree (25928308300); Petkova-Timmer, Vanessa (26041032000); Rolfe, John (7004428803); Ivanova, Galina (57001858800)","55932657500; 25928308300; 26041032000; 7004428803; 57001858800","Coal mining and the resource community cycle: A longitudinal assessment of the social impacts of the Coppabella coal mine","2009","Environmental Impact Assessment Review","29","5","","330","339","9","150","10.1016/j.eiar.2009.01.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-67349189411&doi=10.1016%2fj.eiar.2009.01.008&partnerID=40&md5=ad44da4f254b82afa465b6aad0c4ec9f","Two social impact assessment (SIA) studies of Central Queensland's Coppabella coal mine were undertaken in 2002-2003 and 2006-2007. As ex post studies of actual change, these provide a reference point for predictive assessments of proposed resource extraction projects at other sites, while the longitudinal element added by the second study illustrates how impacts associated with one mine may vary over time due to changing economic and social conditions. It was found that the traditional coupling of local economic vitality and community development to the life cycle of resource projects-the resource community cycle-was mediated by labour recruitment and social infrastructure policies that reduced the emphasis on localised employment and investment strategies, and by the cumulative impacts of multiple mining projects within relative proximity to each other. The resource community cycle was accelerated and local communities forced to consider ways of attracting secondary investment and/or alternative industries early in the operational life of the Coppabella mine in order to secure significant economic benefits and to guard against the erosion of social capital and the ability to cope with future downturns in the mining sector. © 2009 Elsevier Inc. All rights reserved.","Central Queensland; Coal mining; Resource community cycle; SIA; Social impact assessment","Australasia; Australia; Queensland; Coal; Coal industry; Coal mines; Economics; Employment; Investments; Life cycle; Metal recovery; Mines; Mining; Semiconductor device manufacture; Strategic planning; Central Queensland; Coal mining; Resource community cycle; SIA; Social impact assessment; coal mining; extraction; industrial investment; mining industry; recruitment (employment); social capital; social impact assessment; socioeconomic conditions; socioeconomic impact; Coal deposits","Article","Final","","Scopus","2-s2.0-67349189411"
"Cardarelli R.; Elekdag S.; Lall S.","Cardarelli, Roberto (36138511800); Elekdag, Selim (21833689600); Lall, Subir (26327012200)","36138511800; 21833689600; 26327012200","Financial stress and economic contractions","2011","Journal of Financial Stability","7","2","","78","97","19","249","10.1016/j.jfs.2010.01.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952317436&doi=10.1016%2fj.jfs.2010.01.005&partnerID=40&md5=16784d346af62bc1bec6fb62c553534f","This paper examines why some financial stress episodes lead to economic downturns. The paper identifies episodes of financial turmoil in advanced economies using a financial stress index (FSI), and proposes an analytical framework to assess the impact of financial stress - in particular banking distress - on the real economy. It concludes that financial turmoil characterized by banking distress is more likely to be associated with deeper and longer downturns than stress mainly in securities or foreign exchange markets. Economies with more arm's-length financial systems seem to be more exposed to contractions in activity following financial stress, due to the greater procyclicality of leverage in their banking systems. © 2010 International Monetary Fund.","Financial crises; Financial stress index; Financial systems; Recessions; Slowdowns","","Article","Final","","Scopus","2-s2.0-79952317436"
"Flatters P.; Willmott M.","Flatters, Paul (28067656200); Willmott, Michael (28168023000)","28067656200; 28168023000","Understanding the post-recession consumer","2009","Harvard Business Review","87","7","","","","","152","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-67650927976&partnerID=40&md5=d9dcc64035b6755f412fc8a0b6b027de","How will consumers behave as we emerge from this downturn? Though recessions differ in their causes, depth, and duration, it's possible to anticipate the way consumers will act by understanding their behavior and motivation in previous recessions and analyzing current trends. Flatters and Willmott trace the paths of eight trends as they entered the recession and project their trajectories into the recovery. The authors' analysis paints a picture of chastened new consumers who will seek simplicity in products and services; take companies' boardroom ethics into account in purchase decisions; pursue ""discretionary"" thrift (virtuous but not essential cost cutting); flit capriciously from brand to brand; make green consumption more a matter of reducing waste than purchasing premium products; and steer away from frivolous, extreme leisure experiences in favor of wholesome, authentic ones. Like their great-grandparents, who grew up in the Great Depression, young consumers today, the authors say, will be permanently changed by coming of age during a profound economic downturn. © 2009 Harvard Business School Publishing Corporation. All rights reserved.","","","Review","Final","","Scopus","2-s2.0-67650927976"
"Green D.P.; Glaser J.; Rich A.","Green, Donald P. (7404385954); Glaser, Jack (57210707889); Rich, Andrew (57541169400)","7404385954; 57210707889; 57541169400","From Lynching to Gay Bashing: The Elusive Connection between Economic Conditions and Hate Crime","1998","Journal of Personality and Social Psychology","75","1","","82","92","10","204","10.1037/0022-3514.75.1.82","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032110212&doi=10.1037%2f0022-3514.75.1.82&partnerID=40&md5=876139b06a630857b19ec2c79f5a95c6","Trends in bigoted violence are often explained by reference to frustrations arising from macroeconomic downturns. Historical and recent time-series studies have turned up significant links between economic conditions and lynchings of Blacks in the pre-Depression South (e.g., Hepworth & West, 1988; Hovland & Sears, 1940). However, replicating the time-series analyses of lynching, extending them through the Great Depression, and applying similar techniques to contemporary data fail to provide robust evidence of a link between economic performance and intolerant behavior directed against minorities. The authors speculate that the predictive force of macroeconomic fluctuation is undermined by the rapid rate of decay in the frustration-bred aggressive impulse and the absence of prominent political actors affixing economic blame on target groups.","","Adult; African Americans; Aggression; Crime; Female; Frustration; Homosexuality; Humans; Male; Motivation; Prejudice; Socioeconomic Factors; United States; Violence; adult; African American; aggression; article; crime; female; frustration; homosexuality; human; male; motivation; psychological aspect; social psychology; socioeconomics; United States; violence","Article","Final","","Scopus","2-s2.0-0032110212"
"Dube K.; Nhamo G.; Chikodzi D.","Dube, Kaitano (57200754175); Nhamo, Godwell (6506951191); Chikodzi, David (56404652100)","57200754175; 6506951191; 56404652100","COVID-19 cripples global restaurant and hospitality industry","2020","Current Issues in Tourism","","","","1","4","3","245","10.1080/13683500.2020.1773416","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086879313&doi=10.1080%2f13683500.2020.1773416&partnerID=40&md5=7aef9eaca1e4e7e6abbd14121b1941b6","The restaurant and hospitality industries are crucial socio-economic sectors that contribute immensely to the global economy. However, these sectors are vulnerable and sensitive to natural hazards such as the COVID-19 pandemic and any resultant economic downturns. This study investigates the impact of COVID-19 on the global restaurant industry using data from OpenTable and other sources. The study found that sit-in guests dropped to zero in many countries as governments across the world instituted social distancing initiatives, movement restrictions and lockdowns. COVID-19 also led to an unprecedented loss of employment and revenue, resulting in millions of jobs and billions of dollars in potential revenue lost. The work recommends extra-ordinary financial and other support measures for the sector. It further recommends a raft of safety and health protocols as the industry gradually reopens. © 2020, © 2020 Informa UK Limited, trading as Taylor & Francis Group.","coronavirus; COVID-19; Hospitality industry; restaurants; tourism industry","Coronavirus","Letter","Final","","Scopus","2-s2.0-85086879313"
"Næs R.; Skjeltorp J.A.; Ødegaard B.A.","Næs, Randi (55958224600); Skjeltorp, Johannes A. (7801490159); Ødegaard, Bernt Arne (6602254850)","55958224600; 7801490159; 6602254850","Stock Market Liquidity and the Business Cycle","2011","Journal of Finance","66","1","","139","176","37","252","10.1111/j.1540-6261.2010.01628.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650981836&doi=10.1111%2fj.1540-6261.2010.01628.x&partnerID=40&md5=8c2a64eea69d19e49a502664b1bf27c6","In the recent financial crisis we saw liquidity in the stock market drying up as a precursor to the crisis in the real economy. We show that such effects are not new; in fact, we find a strong relation between stock market liquidity and the business cycle. We also show that investors' portfolio compositions change with the business cycle and that investor participation is related to market liquidity. This suggests that systematic liquidity variation is related to a ""flight to quality"" during economic downturns. Overall, our results provide a new explanation for the observed commonality in liquidity. © 2011 the American Finance Association.","","","Article","Final","","Scopus","2-s2.0-78650981836"
"Stiglitz J.E.","Stiglitz, Joseph E. (57208457063)","57208457063","Rethinking macroeconomics: What failed, and to how repair it","2011","Journal of the European Economic Association","9","4","","591","645","54","148","10.1111/j.1542-4774.2011.01030.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960032862&doi=10.1111%2fj.1542-4774.2011.01030.x&partnerID=40&md5=a4b5e94f2365efb8e38f7ab5cb3c4151","The standard macroeconomic models have failed, by all the most important tests of scientific theory. They did not predict that the financial crisis would happen; and when it did, they understated its effects. Monetary authorities allowed bubbles to grow and focused on keeping inflation low, partly because the standard models suggested that low inflation was necessary and almost sufficient for efficiency and growth. After the crisis broke, policymakers relying on the models floundered. Notwithstanding the diversity of macroeconomics, the sum of these failures points to the need for a fundamental re-examination of the models-and a reassertion of the lessons of modern general equilibrium theory that were seemingly forgotten in the years leading up to the crisis. This paper first describes the failures of the standard models in broad terms, and then develops the economics of deep downturns, and shows that such downturns are endogenous. Further, the paper argues that there have been systemic changes to the structure of the economy that made the economy more vulnerable to crisis, contrary to what the standard models argued. Finally, the paper contrasts the policy implications of our framework with those of the standard models. © 2011 by the European Economic Association.","","","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-79960032862"
"Didier T.; Huneeus F.; Larrain M.; Schmukler S.L.","Didier, Tatiana (24722590000); Huneeus, Federico (56728632800); Larrain, Mauricio (15046696200); Schmukler, Sergio L. (6603544686)","24722590000; 56728632800; 15046696200; 6603544686","Financing firms in hibernation during the COVID-19 pandemic","2021","Journal of Financial Stability","53","","100837","","","","154","10.1016/j.jfs.2020.100837","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099248251&doi=10.1016%2fj.jfs.2020.100837&partnerID=40&md5=48f9f568ba27ef4ef19559081f6e59b8","The coronavirus (COVID-19) pandemic halted economic activity worldwide, hurting firms and pushing many of them toward bankruptcy. This paper discusses four central issues that have emerged in the academic and policy debates related to firm financing during the downturn. First, the economic crisis triggered by the pandemic is radically different from past crises, with important consequences for optimal policy responses. Second, it is important to preserve firms’ relationships with key stakeholders (e.g., workers, suppliers, customers, and creditors) to avoid inefficient bankruptcies and long-term detrimental economic effects. Third, firms can benefit from “hibernation,” incurring the minimum bare expenses necessary to withstand the pandemic while using credit to remain alive until the crisis subdues. Fourth, the existing legal and regulatory infrastructure is ill-equipped to deal with an exogenous systemic shock like a pandemic. Financial sector policies can help channel credit to firms, but they are hard to implement and entail different trade-offs. © 2020","Cash crush; Coronavirus; Credit risk; Financial policies; Firm relationships","","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85099248251"
"Turok I.; Mykhnenko V.","Turok, Ivan (7004094101); Mykhnenko, Vlad (16302098300)","7004094101; 16302098300","The trajectories of European cities, 1960-2005","2007","Cities","24","3","","165","182","17","552","10.1016/j.cities.2007.01.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34247894004&doi=10.1016%2fj.cities.2007.01.007&partnerID=40&md5=da07dea912fa87b5dc6a888257372561","Cities have been viewed for several decades as the places within Europe typically facing the greatest problems associated with economic and population decline. A contrasting view has emerged recently that identifies cities as sites of economic dynamism and social vitality. The paper offers evidence on population change for 310 cities across the whole of Europe to assess how their fortunes have changed over the period from the 1960s through to 2005. It reveals considerable diversity of experience, with one in seven cities described as resurgent on a strict definition of decline followed by growth. They are outnumbered by cities that have experienced continuous growth and those that have had a recent downturn. Taking a long-term overview, the growth of European cities has generally slowed over the last few decades. A short-term perspective suggests something of a recovery within the last five years. Growth and revival are more common in Western Europe and decline is more widespread in the East. The position of larger cities also appears to have improved slightly relative to smaller cities. © 2007 Elsevier Ltd. All rights reserved.","City trajectories; Europe; population change; resurgent cities","Eurasia; Europe; Western Europe; economic development; population dynamics; urban growth; urban population","Article","Final","","Scopus","2-s2.0-34247894004"
"Goldstein J.R.; Sobotka T.; Jasilioniene A.","Goldstein, Joshua R. (7403363772); Sobotka, Tomáš (35249538300); Jasilioniene, Aiva (24464335800)","7403363772; 35249538300; 24464335800","The end of ""lowest-low"" fertility?","2009","Population and Development Review","35","4","","663","699","36","352","10.1111/j.1728-4457.2009.00304.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-71849086417&doi=10.1111%2fj.1728-4457.2009.00304.x&partnerID=40&md5=6d5909ceee23d50bfd24c2056363a270","Total fertility rates fell to previously unseen levels in a large number of countries beginning in the early 1990s. The persistence of TFRs below 1.3 raised the possibility of rapid population aging and decline. We discuss the recent widespread turnaround in so-called lowest-low-fertility countries in Europe and East Asia. The number of countries with TFRs below 1.3 fell from 21 in 2003 to five in 2008. Moreover, the upturn in the TFR was not confined to lowest-fertility countries, but affected the whole developed world. We explore the demographic explanations for the recent rise in TFRs stemming from fertility timing effects as well as economic, policy, and social factors. Although the current economic downturn may suppress TFRs in the short run, we conclude that formerly lowest-low-fertility countries will continue to see increases in fertility as the transitory effects of shifts to later childbearing become less important. © 2009 The Population Council, Inc.","","Asia; Eurasia; Europe; Far East; aging population; childbearing; fertility; population decline","Article","Final","","Scopus","2-s2.0-71849086417"
"Randall W.S.; Farris II M.T.","Randall, Wesley S (24470521900); Farris II, M. Theodore (7004250071)","24470521900; 7004250071","Supply chain financing: Using cash-to-cash variables to strengthen the supply chain","2009","International Journal of Physical Distribution and Logistics Management","39","8","","669","689","20","212","10.1108/09600030910996314","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70350399357&doi=10.1108%2f09600030910996314&partnerID=40&md5=d597e34112250150c8134d9a8babe528","Purpose - The purpose of this paper is to show how firm financial management techniques may be used to improve over all supply chain profitability and performance. Design/methodology/approach - This paper uses a case-based approach to demonstrate how supply chain financial management techniques, such as cash-to-cash and shared weighted average cost of capital (WACC), can reduce the financial costs experience by a supply chain. Findings - This paper provides a methodology to identify and quantify the potential opportunities to increase profitability throughout the supply. Scenarios are offered that illuminate potential supply chain improvements gained by collaborative management of cash-to-cash cycles and sharing WACC with trading partners. Research limitations/implications - These financial techniques are readily available for use in collaborative supply chain structures. Practical implications - Coordinating financial management across the supply chain is a potential tool to align and improve the financial performance of collaborating firms. This method extends to the supply chain those historically firm-centric financial management concepts such as return on capital and cash flow. The impact is reduced overall cost generated by leveraging the financial strength of the entire supply chain. During economic downturns and times of tight credit proactively managing financials across the supply chain may be the only way some suppliers remain afloat. Originality/value - Two firm level financial management approaches are extended and they are adopted for use across the supply chain: cash-to-cash management; and leveraging a shared supply chain financing rate. This paper builds on the increasing body of research and practice that suggests trading firm-optimized for supply chain optimized performance reduces overall cost and improves customer value. © Emerald Group Publishing Limited.","Cash flow; Finance; Supplier relations; Supply chain management","","Article","Final","","Scopus","2-s2.0-70350399357"
"Taylor M.","Taylor, Mark (7406239196)","7406239196","Measuring Financial Capability and its Determinants Using Survey Data","2011","Social Indicators Research","102","2","","297","314","17","113","10.1007/s11205-010-9681-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79953167466&doi=10.1007%2fs11205-010-9681-9&partnerID=40&md5=b690d44a1ef86c46890fe3fd4c41de37","Financial capability, or people's ability to manage and take control of their finances, is receiving increasing interest among policy makers as more people find themselves in difficult financial situations during the current economic downturn. We tackle the problem of how to measure financial capability-with a specific focus on making ends meet and money management-using data from a general household survey (the British Household Panel Survey), and then identify its key determinants using panel data models. This is important if appropriate policies and programmes are to be targeted at those most in need. We find the lowest financial capability among young unemployed single adults living in households with other unrelated non-working adults. In contrast, older men and women in full-time work with an employed spouse have the most financial capability. © 2010 Springer Science+Business Media B.V.","BHPS; Financial capability; Financial distress; Financial problems; Panel data","economic conditions; financial system; household survey; panel data; socioeconomic conditions","Article","Final","","Scopus","2-s2.0-79953167466"
"Watson M.","Watson, Matthew (57202346630)","57202346630","House price Keynesianism and the contradictions of the modern investor subject","2010","Housing Studies","25","3","","413","426","13","125","10.1080/02673031003711550","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951787987&doi=10.1080%2f02673031003711550&partnerID=40&md5=7b629768570d47502e508c690d78fdb3","This paper conceptualises the marked downturn in UK house prices in the 2007 2009 period in relation to longer-term processes of national economic restructuring centred on a new model of homeownership. The structure of UK house prices has been impacted markedly by the Labour Government's efforts to ingrain a particular notion of financial literacy amid the move towards an increasingly asset-based system of welfare. New model welfare recipients and new model homeowners have thereby been co-constituted in a manner consistent with a new UK growth regime of 'house price Keynesianism'. However, the investor subjects who drive such growth are necessarily rendered uncertain compared with the idealised image of government policy because of their reliance on the credit-creating decisions of private financial institutions. The recent steep decline in UK house prices is explained here as an epiphenomenon of the disruptive effect on the idealised image caused by the dependence of investor subjects on pricing dynamics not of their making. © 2010 Taylor & Francis.","Asset-based welfare; House price Keynesianism; Investor subjects; New Labour; UK house price collapse","United Kingdom; conceptual framework; economic structure; governance approach; homeowner; homeownership; housing market; investment; Keynesian theory; price dynamics; welfare economics","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-77951787987"
"Dunford M.; Li L.","Dunford, Michael (7003846270); Li, Li (57142813800)","7003846270; 57142813800","Earthquake reconstruction in Wenchuan: Assessing the state overall plan and addressing the 'forgotten phase'","2011","Applied Geography","31","3","","998","1009","11","95","10.1016/j.apgeog.2011.01.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952226151&doi=10.1016%2fj.apgeog.2011.01.001&partnerID=40&md5=8993aed93f6dd5f5c04abf90077d0201","On 12 May, 2008 a massive earthquake struck Wenchuan in western China. In August 2008 the Chinese government launched a three-year reconstruction plan. This paper examines the progress made in the first year of reconstruction in rural Wenchuan and the challenges that remain. As the area struck by the earthquake was poor, the paper pays particular attention to the relationships between reconstruction, disaster mitigation and poverty alleviation. The research shows that the speed and quality of state-led reconstruction is high, and that the effectiveness of reconstruction depended vitally on a clear action plan and consistent and effective co-ordination and integration of actors involved in its implementation. Existing research also shows that poverty is a major driver of the impact of disasters. This research shows that priority was attached to resettlement of the rural population and that poverty alleviation features strongly in the reconstruction plans. Although there is evidence of pro-poor policies, most resources were not concentrated on the poor population within the zone. The main reason why is that the allocation of resources was driven by damage assessments. House reconstruction in particular has however occurred at the expense of substantial increases in household indebtedness. Indebtedness along with a reduced flow of public expenditure at the end of the plan period suggest that there is a high risk of an economic downturn, observed elsewhere in a 'forgotten phase' of earthquake reconstruction. Earthquake recovery is a long-term process requiring a seven-to ten-year economic development, risk mitigation and poverty alleviation programme. © 2011 Elsevier Ltd.","China; Disaster relief and reconstruction; Disasters; Earthquakes; Economic development; Forgotten phase; Household indebtedness; Partnership; Poverty alleviation; Rural development; Sichuan; State overall planning; Wenchuan","China; Sichuan; Wenchuan; disaster management; disaster relief; economic development; natural disaster; poverty alleviation; public spending; rural area; rural development; settlement planning; Sichuan earthquake 2008","Article","Final","","Scopus","2-s2.0-79952226151"
"Bertram C.; Luderer G.; Creutzig F.; Bauer N.; Ueckerdt F.; Malik A.; Edenhofer O.","Bertram, Christoph (55881685200); Luderer, Gunnar (15069126500); Creutzig, Felix (23995215600); Bauer, Nico (58093213100); Ueckerdt, Falko (55810286300); Malik, Aman (57215191998); Edenhofer, Ottmar (55868364000)","55881685200; 15069126500; 23995215600; 58093213100; 55810286300; 57215191998; 55868364000","COVID-19-induced low power demand and market forces starkly reduce CO2 emissions","2021","Nature Climate Change","11","3","","193","196","3","110","10.1038/s41558-021-00987-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100821748&doi=10.1038%2fs41558-021-00987-x&partnerID=40&md5=91142bd1b730572a3d9bd96026432247","The COVID-19 pandemic continues to strongly affect global energy systems. Global power sector CO2 emissions have shown a substantial decline, thanks to (a) the COVID-19-induced economic downturn and resulting reduction of electricity demand and (b) a decrease of carbon intensity of power generation as coal generation is decreased most strongly. These effects illustrate the opportunity for different policies to support a structural and accelerating decline of power sector emissions. © 2021, The Author(s), under exclusive licence to Springer Nature Limited.","","carbon dioxide; carbon emission; coal; COVID-19; electricity generation; emission control; power generation","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85100821748"
"Friedline T.; Chen Z.; Morrow S.P.","Friedline, Terri (35388288300); Chen, Zibei (55917340900); Morrow, So’Phelia (57218123561)","35388288300; 55917340900; 57218123561","Families’ Financial Stress & Well-Being: The Importance of the Economy and Economic Environments","2021","Journal of Family and Economic Issues","42","","","34","51","17","108","10.1007/s10834-020-09694-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087933521&doi=10.1007%2fs10834-020-09694-9&partnerID=40&md5=7aa4dc2aaa8893ad8e2b3d70b47e4c2b","The Great Recession and the unfolding COVID-19 Pandemic Recession—two major disruptions to the economy that occurred just one decade apart—unequivocally confirm the importance of the economy and economic environments for understanding families’ financial stress and well-being. However, recent published literature places too little emphasis on the economy and economic environments and instead focuses on explanations rooted within individuals and families. In this article, we review research on families’ financial stress and well-being published in JFEI between 2010 and 2019, which analyzed data collected during the Great Recession and were subsequently published in the shadow of the economic downturn. We discuss the economy and economic environments as gaps in the literature and encourage future research to focus on these explanations of stress and well-being, especially in response to the pandemic recession. © 2020, Springer Science+Business Media, LLC, part of Springer Nature.","Capitalism; Economy; Financial stress; Financial well-being; Great recession","","Review","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85087933521"
"Alessandria G.; Kaboski J.P.; Midrigan V.","Alessandria, George (8544896700); Kaboski, Joseph P (6506569572); Midrigan, Virgiliu (22980853800)","8544896700; 6506569572; 22980853800","The great trade collapse of 2008-09: An inventory adjustment","2010","IMF Economic Review","58","2","","254","294","40","98","10.1057/imfer.2010.10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650493306&doi=10.1057%2fimfer.2010.10&partnerID=40&md5=9049c82cf4af637c4d16167c9d59aadc","This paper examines the role of inventories in the decline of production, trade, and expenditures in the United States in the economic crisis of late 2008 and 2009. Empirically, the paper shows that international trade declined more drastically than trade-weighted production or absorption and there was a sizable inventory adjustment. This is most clearly evident for automobile, the industry with the largest drop in trade. However, relative to the magnitude of the U.S. downturn, these movements in trade are quite typical. The paper develops a two-country general equilibrium model with endogenous inventory holdings in response to frictions in domestic and foreign transactions costs. With more severe frictions on international transactions, in a downturn, the calibrated model shows a larger decline in output and an even larger decline in international trade, relative to a more standard model without inventories. The magnitudes of production, trade, and inventory responses are quantitatively similar to those observed in the current and previous U.S. recessions. © 2010 International Monetary Fund.","","","Conference paper","Final","","Scopus","2-s2.0-78650493306"
"Chaney E.","Chaney, Eric (54580787000)","54580787000","Revolt on the Nile: Economic Shocks, Religion, and Political Power","2013","Econometrica","81","5","","2033","2053","20","101","10.3982/ECTA10233","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889034775&doi=10.3982%2fECTA10233&partnerID=40&md5=d7d4c7430ee04d51e45851e698c85e32","Using centuries of Nile flood data, I document that during deviant Nile floods, Egypt's highest-ranking religious authority was less likely to be replaced and relative allocations to religious structures increased. These findings are consistent with historical evidence that Nile shocks increased this authority's political influence by raising the probability he could coordinate a revolt. I find that the available data provide support for this interpretation and weigh against some of the most plausible alternatives. For example, I show that while Nile shocks increased historical references to social unrest, deviant floods did not increase a proxy for popular religiosity. Together, the results suggest an increase in the political power of religious leaders during periods of economic downturn. © 2013 The Econometric Society.","Economic shocks; Political economy; Political power; Religion; Social conflict","","Article","Final","","Scopus","2-s2.0-84889034775"
"Folger-Laronde Z.; Pashang S.; Feor L.; ElAlfy A.","Folger-Laronde, Zachary (57217536159); Pashang, Sep (57217529573); Feor, Leah (57217533032); ElAlfy, Amr (57217384835)","57217536159; 57217529573; 57217533032; 57217384835","ESG ratings and financial performance of exchange-traded funds during the COVID-19 pandemic","2022","Journal of Sustainable Finance and Investment","12","2","","490","496","6","121","10.1080/20430795.2020.1782814","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087378105&doi=10.1080%2f20430795.2020.1782814&partnerID=40&md5=40bdca671ff23a2314e3d0295ab6299b","With the advent of the COVID-19 pandemic, the world has experienced economic and social fragility, which calls for alternative approaches to navigate towards sustainable outcomes. While recent studies show that responsible investments (RI) are resilient during the economic downturn caused by crises such as COVID-19, there has been little exploration into exchange-traded funds (ETFs). Using ANOVA and multivariate regression models, we analyze the differences and relationship between the financial returns of ETFs and their Eco-fund ratings during the COVID-19 pandemic-related financial market crash. Our results indicate that higher levels of the sustainability performance of ETFs do not safeguard investments from financial losses during a severe market downturn. These results contribute to the research by exposing weaknesses of current sustainability scores and rating methods to provide an initial analysis of RI during the COVID-19 pandemic. © 2020 Informa UK Limited, trading as Taylor & Francis Group.","Coronavirus; COVID-19; ESG Ratings; Exchange-traded funds; socially responsible investing","","Article","Final","","Scopus","2-s2.0-85087378105"
"Huhtala J.-P.; Sihvonen A.; Frösén J.; Jaakkola M.; Tikkanen H.","Huhtala, Juho-Petteri (56088749800); Sihvonen, Antti (55925696000); Frösén, Johanna (57208894029); Jaakkola, Matti (36238907800); Tikkanen, Henrikki (7004053576)","56088749800; 55925696000; 57208894029; 36238907800; 7004053576","Market orientation, innovation capability and business performance: Insights from the global financial crisis","2014","Baltic Journal of Management","9","2","","134","152","18","100","10.1108/BJM-03-2013-0044","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897063982&doi=10.1108%2fBJM-03-2013-0044&partnerID=40&md5=ba2ba4593cbbc7f5969ed315988eb114","Purpose: The paper aims to examine the role of market orientation (MO) and innovation capability in determining business performance during an economic upturn and downturn. Design/methodology/approach: The data comprise two national-level surveys conducted in Finland in 2008, representing an economic boom, and in 2010 when the global economic crisis had hit the Finnish market. Partial least square path analysis is used to test the potential mediating effect of innovation capability on the relationship between MO and business performance during economic boom and bust. Findings: The results show that innovation capability fully mediates the performance effects of a MO during an economic upturn, whereas the mediation is only partial during a downturn. Innovation capability also mediates the relationship between a customer orientation and business performance during an upturn, whereas the mediating effect culminates in a competitor orientation during a downturn. Thus, the role of innovation capability as a mediator between the individual market-orientation components varies along the business cycle. Originality/value: This paper is one of the first studies that empirically examine the impact of the economic cycle on the relationship between strategic marketing concepts, such as MO or innovation capability, and the firm's business performance. © Emerald Group Publishing Limited.","Business performance; Economic fluctuation; Financial crisis; Innovation capability; Market orientation; PLS","","Article","Final","","Scopus","2-s2.0-84897063982"
